n,size,x,y,z,vx,vy,vz,t0,st,time_end,xfinal,yfinal,zfinal,vxfinal,vyfinal,vzfinal
1,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0198242726443845,-0.0528332195259832,-0.0203874747980315,0.0,3,0.08961362268499755,15.31946769,-75.7168023,-23.51677487,0.017878343249999998,0.05446292778,0.022852131
2,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0198507050079103,-0.0529036638186845,-0.0204146580977622,0.0,3,0.08993885416675497,14.93951001,-75.75548058,-23.54791972,0.01797066042,0.05450908147,0.022894880139999997
3,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0198771373714362,-0.0529741081113858,-0.0204418413974929,0.0,3,0.0902594560191587,14.527953250000001,-75.81717956,-23.59402153,0.01805867206,0.05454050197,0.022929835770000004
4,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.019903569734962,-0.0530445524040871,-0.0204690246972236,0.0,3,0.09058815972258648,14.12753937,-75.83974323000001,-23.62347691,0.01815461285,0.054596293840000004,0.02297683143
5,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0199300020984879,-0.0531149966967884,-0.0204962079969544,0.0,3,0.09091570601833088,13.7228117,-75.87037500000001,-23.65607737,0.01825001659,0.054645296339999996,0.02302064969
6,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0199564344620137,-0.0531854409894897,-0.0205233912966851,0.0,3,0.09123515046305126,13.306905070000001,-75.93663382,-23.70283621,0.01833964163,0.05466919862,0.02305234585
7,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0199828668255396,-0.053255885282191,-0.0205505745964158,0.0,3,0.0915603819448087,12.86421926,-75.98267208,-23.74886958,0.01843236149,0.05470706404,0.02309003127
8,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0200092991890654,-0.0533263295748923,-0.0205777578961465,0.0,3,0.0918879282405531,12.436250059999999,-76.01248692,-23.78507497,0.01852954564,0.05475322093,0.02313229109
9,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0200357315525913,-0.0533967738675937,-0.0206049411958772,0.0,3,0.09221547453767724,12.00719625,-76.04828672,-23.82290121,0.01862648119,0.05479365745,0.02317195576
10,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0200621639161171,-0.053467218160295,-0.0206321244956079,0.0,3,0.0925395486117513,11.55363941,-76.0965822,-23.87051316,0.018720784690000002,0.054825327880000004,0.023206855250000002
11,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.020088596279643,-0.0535376624529963,-0.0206593077953386,0.0,3,0.09286825231517908,11.107931559999999,-76.12830493,-23.90988762,0.01881937579,0.0548659081,0.02324644059
12,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0201150286431688,-0.0536081067456976,-0.0206864910950693,0.0,3,0.09319811342629018,10.62553516,-76.15163126,-23.9552425,0.01891877303,0.0549121448,0.02328786749
13,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0201414610066947,-0.0536785510383989,-0.0207136743948,0.0,3,0.09352913194508465,10.1586814,-76.17135378,-23.99474756,0.01902045503,0.054957974519999994,0.023329760560000003
14,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0201678933702205,-0.0537489953311002,-0.0207408576945307,0.0,3,0.0938578356485124,9.679844207,-76.20128471,-24.040126129999997,0.01912035488,0.05499550373,0.02336748347
15,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0201943257337463,-0.0538194396238015,-0.0207680409942614,0.0,3,0.09418653935194016,9.191179565,-76.2326541,-24.08789503,0.01922024535,0.055030432530000006,0.02340385069
16,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0202207580972722,-0.0538898839165028,-0.0207952242939922,0.0,3,0.094524502315455,8.703739933000001,-76.21411461,-24.11803693,0.0193314618,0.05509641824,0.023455608790000002
