n,size,x,y,z,vx,vy,vz,t0,st,time_end,xfinal,yfinal,zfinal,vxfinal,vyfinal,vzfinal
1,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0039283020764428,-0.0511963644705477,-0.0310403077915644,0.0,3,0.07837172453740128,-30.64320295,-46.459983380000004,-43.80473482,0.024955511530000002,0.04825588267,0.036961864059999995
2,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0039335398125447,-0.0512646262898417,-0.0310816948686198,0.0,3,0.07868422453740129,-31.0171425,-46.17604014,-43.82068343,0.02510206243,0.048232841410000005,0.03707158058
3,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0039387775486466,-0.0513328881091358,-0.0311230819456752,0.0,3,0.07900135416675497,-31.40283213,-45.87587743,-43.83211054,0.02525397159,0.04821100735,0.037185850810000004
4,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0039440152847485,-0.0514011499284299,-0.0311644690227306,0.0,3,0.07932079861147535,-31.78693415,-45.569535699999996,-43.839813649999996,0.02540949748,0.048189025489999995,0.03730282291
5,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0039492530208505,-0.0514694117477239,-0.031205856099786,0.0,3,0.07962866898212168,-32.19886998,-45.31279988,-43.88703142,0.02553515785,0.04814431136,0.037373640039999996
6,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0039544907569524,-0.051537673567018,-0.0312472431768414,0.0,3,0.07994579861147537,-32.58793009,-45.01355805,-43.90161629999999,0.02568651874,0.04811462121,0.037479721790000003
7,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0039597284930543,-0.0516059353863121,-0.0312886302538969,0.0,3,0.0802640856485124,-33.008258,-44.71944193,-43.93163208,0.02582829866,0.0480758643,0.0375679024
8,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0039649662291562,-0.0516741972056061,-0.0313300173309523,0.0,3,0.08059278935194016,-33.398583450000004,-44.38374701,-43.92670877,0.02599740313,0.04805230339,0.03769334941
9,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0039702039652582,-0.0517424590249002,-0.0313714044080077,0.0,3,0.08091454861202725,-33.8018703,-44.07332293,-43.941795760000005,0.026151338609999998,0.04801634359,0.03779455434
10,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0039754417013601,-0.0518107208441942,-0.0314127914850631,0.0,3,0.08123862268610134,-34.21879097,-43.755947729999995,-43.95873936,0.02630550467,0.04797768094,0.03789249456
11,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.003980679437462,-0.0518789826634883,-0.0314541785621185,0.0,3,0.08155922453712534,-34.642951079999996,-43.45473414,-43.98838189,0.02644990886,0.047930592949999996,0.03797440246
12,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0039859171735639,-0.0519472444827824,-0.031495565639174,0.0,3,0.08188908564823645,-35.08259346,-43.119594150000005,-44.005288799999995,0.02660726095,0.04788812244,0.03806966316
13,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0039911549096659,-0.0520155063020764,-0.0315369527162294,0.0,3,0.08221894675934756,-35.510609169999995,-42.7851742,-44.018621190000005,0.02676702239,0.047844675360000005,0.03816663367
14,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0039963926457678,-0.0520837681213705,-0.0315783397932848,0.0,3,0.08255228009350873,-35.940173279999996,-42.440153959999996,-44.027099019999994,0.02693163385,0.047801151,0.03826721397
15,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040016303818697,-0.0521520299406646,-0.0316197268703402,0.0,3,0.0828890856479605,-36.36974402,-42.08061025,-44.02786056,0.027103496300000002,0.04775870059,0.038374494270000004
16,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040068681179716,-0.0522202917599586,-0.0316611139473956,0.0,3,0.08322241898212168,-36.82081027,-41.73371529,-44.045250519999996,0.02726333458,0.047706308010000004,0.03846155359
17,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040121058540735,-0.0522885535792527,-0.0317025010244511,0.0,3,0.08357079861202726,-37.24390442,-41.33132676,-44.02007261,0.02745851106,0.04767011085,0.03859352935
18,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040173435901755,-0.0523568153985468,-0.0317438881015065,0.0,3,0.0839064467601754,-37.70607407,-40.97976904,-44.04073978,0.02761736042,0.047611049210000006,0.03867282717
19,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040225813262774,-0.0524250772178408,-0.0317852751785619,0.0,3,0.08424440972231052,-38.16270829,-40.62046078,-44.05542596,0.02778120725,0.0475520035,0.03875651003
20,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040278190623793,-0.0524933390371349,-0.0318266622556173,0.0,3,0.08459741898156979,-38.60829147,-40.20545991,-44.034363979999995,0.027976512659999998,0.0475052484,0.03887732809
21,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040330567984812,-0.052561600856429,-0.0318680493326727,0.0,3,0.0849469560191587,-39.08482582,-39.80656829,-44.03624148,0.02815478844,0.047445804130000005,0.038970668050000004
22,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040382945345832,-0.052629862675723,-0.0319094364097282,0.0,3,0.0852930208336976,-39.54994034,-39.417743879999996,-44.03988347000001,0.028330406090000003,0.04738275432,0.03905950698
23,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040435322706851,-0.0526981244950171,-0.0319508234867836,0.0,3,0.08564024305591982,-40.01894221,-39.02530162,-44.04389208,0.02850627176,0.047316633420000004,0.03914550691
24,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.004048770006787,-0.0527663863143111,-0.031992210563839,0.0,3,0.08600482638925315,-40.47517505,-38.5674632,-44.005925930000004,0.02871981645,0.04726350975,0.03927453378
25,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040540077428889,-0.0528346481336052,-0.0320335976408944,0.0,3,0.0863578356485124,-40.986963779999996,-38.15884223,-44.02075482,0.0288907895,0.04718637647999999,0.03934337668
26,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040592454789909,-0.0529029099528993,-0.0320749847179498,0.0,3,0.086712002315455,-41.45758914,-37.73922256,-44.01247237,0.029078647580000002,0.047115384589999997,0.03943471122
27,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040644832150928,-0.0529711717721933,-0.0321163717950052,0.0,3,0.08707427083342163,-41.947600650000005,-37.29351311,-43.99862983,0.02927403118,0.04704254218,0.03952896797
28,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040697209511947,-0.0530394335914874,-0.0321577588720607,0.0,3,0.08744811342684207,-42.44065023,-36.80535387,-43.962947039999996,0.02949059247,0.04697329552,0.03964335183
29,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040749586872966,-0.0531076954107815,-0.0321991459491161,0.0,3,0.08781501157416238,-42.93765306,-36.344825390000004,-43.94568196,0.02969014365,0.046894072290000005,0.03973495031
30,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040801964233986,-0.0531759572300755,-0.0322405330261715,0.0,3,0.0881911689815698,-43.41436942,-35.844141199999996,-43.89760613000001,0.02991690227,0.046821474089999995,0.03985627437
31,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040854341595005,-0.0532442190493696,-0.0322819201032269,0.0,3,0.0885557523149031,-43.94666628,-35.39517335,-43.904604449999994,0.03009693376,0.04672602317,0.03991507034
32,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040906718956024,-0.0533124808686637,-0.0323233071802823,0.0,3,0.08893075231462717,-44.44927313,-34.90346126,-43.875198950000005,0.03030841061,0.04663895938,0.040009440859999995
33,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0040959096317043,-0.0533807426879577,-0.0323646942573378,0.0,3,0.0893092245374013,-44.97665019,-34.398473800000005,-43.8505555,0.030517873889999998,0.04654528343,0.040094449809999995
34,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0041011473678063,-0.0534490045072518,-0.0324060813343932,0.0,3,0.08969232638952908,-45.485095359999995,-33.87793973,-43.8096911,0.0307406875,0.04645283396,0.040193246780000004
35,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0041063851039082,-0.0535172663265458,-0.0324474684114486,0.0,3,0.09007890046332721,-46.01099666,-33.34373416,-43.770231949999996,0.03096380667,0.04635460602,0.040285991980000005
36,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0041116228400101,-0.0535855281458399,-0.032488855488504,0.0,3,0.09047010416647903,-46.498023620000005,-32.78811109,-43.70198561,0.03121060257,0.046261259629999996,0.040405954169999994
37,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.004116860576112,-0.053653789965134,-0.0325302425655594,0.0,3,0.09086362268499754,-47.040595,-32.22897529,-43.65858935999999,0.03143868348,0.04615357919,0.04049368081
38,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0041220983122139,-0.053722051784428,-0.0325716296426149,0.0,3,0.09125366898184573,-47.58929578,-31.683246049999997,-43.626882349999995,0.031654948950000004,0.04603844687,0.04056521599
39,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0041273360483159,-0.0537903136037221,-0.0326130167196703,0.0,3,0.09164950231573095,-48.11856177,-31.11569235,-43.57515566,0.03188827855,0.04592430169,0.04065363787
40,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0041325737844178,-0.0538585754230162,-0.0326544037967257,0.0,3,0.09204765046360315,-48.66936145,-30.53881754,-43.529657900000004,0.032116807920000004,0.04580239951,0.04073000985
41,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0041378115205197,-0.0539268372423102,-0.0326957908737811,0.0,3,0.09245737268554943,-49.19901103,-29.91789071,-43.45094702,0.03237582098,0.045682880270000004,0.040835600449999995
42,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0041430492566216,-0.0539950990616043,-0.0327371779508365,0.0,3,0.0928589930564717,-49.745472879999994,-29.32736137,-43.39849942,0.03260872607,0.04555256451,0.04090980217
43,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0041482869927236,-0.0540633608808984,-0.032778565027892,0.0,3,0.09327103009240495,-50.29702961,-28.70107988,-43.330041060000006,0.03285734328,0.045418784329999996,0.040993949470000006
44,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0041535247288255,-0.0541316227001924,-0.0328199521049474,0.0,3,0.09369001157443833,-50.845444900000004,-28.0458234,-43.245486639999996,0.03312090517,0.045281681440000006,0.041088360340000005
