id_particella,pos_x_m,pos_y_m,pos_z_m,vel_x_ms,vel_y_ms,vel_z_ms,dimensione_m,destino
1,-11.3109,78.8904,-7.9005,-1.8683,9.7984,-1.2443,0.021,sopravvivenza
2,1.2717,-79.8519,2.6902,-0.6585,-5.742,-0.021,0.0763,sopravvivenza
3,-11.3773,-57.1442,-54.9293,-8.0124,-36.7707,-35.8474,1.1618,fuga
4,-11.7605,61.2306,-50.1882,-2.1673,10.5401,-8.7905,6.3322,sopravvivenza
5,6.3496,51.8048,-60.6539,-0.099,12.5296,-15.1152,0.0341,fuga
6,36.7844,-42.1158,57.1358,7.2811,-8.5568,10.7069,0.0862,sopravvivenza
7,74.6604,15.6363,23.6006,6.8341,1.9544,1.4935,0.0582,sopravvivenza
8,11.2934,-20.9645,76.2027,0.8024,-4.198,12.2317,1.0154,sopravvivenza
9,-32.0603,19.3525,70.6078,-16.3975,9.7226,35.0233,0.0514,fuga
10,-54.8479,-36.7215,44.841,-33.9731,-22.6147,28.4296,1.5398,fuga
11,-62.2149,44.7862,22.781,-20.4054,14.5463,7.8918,0.1838,sopravvivenza
12,-68.5326,15.4364,-38.5126,-2.8195,1.0208,-1.7486,0.9517,impatto
13,-61.7877,48.0748,-16.5147,-11.3931,9.223,-2.0301,1.1382,impatto
14,25.3829,66.4883,37.0654,2.9789,7.7191,4.9722,0.2606,impatto
15,24.2375,-52.1573,-55.6171,8.5373,-17.5349,-19.2794,0.0026,sopravvivenza
16,-29.1849,6.6605,74.2836,-1.6172,0.8053,3.2844,0.1307,impatto
17,52.8136,-42.9857,-41.6617,6.4907,-4.7905,-4.7354,0.3412,sopravvivenza
18,17.8588,-74.0306,-24.7129,2.2913,-8.85,-3.7722,0.6433,sopravvivenza
19,-68.1791,-37.5526,-18.3948,-11.8589,-7.1444,-2.4486,0.0043,sopravvivenza
20,-38.4424,64.3957,27.9552,-3.2876,6.8449,3.8984,5.5196,impatto
21,22.9332,-76.5274,0.706,7.2239,-22.639,-0.6273,8.1847,sopravvivenza
